Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Игры шпионов,The Courier,https://www.kinopoisk.ru/film/1140474/,Доминик Кук,Великобритания,2020,триллер,"Бенедикт Камбербэтч, Мераб Нинидзе",112,6.9,30 551
Триггер: Экстра,,https://www.kinopoisk.ru/film/5431108/,Полина Веснина,Россия,2023,короткометражка,,7,7.5,30 550
Когда деревья были большими,,https://www.kinopoisk.ru/film/44838/,Лев Кулиджанов,СССР,1961,драма,"Инна Гулая, Юрий Никулин",95,8.0,30 524
Бекки в ярости,The Wrath of Becky,https://www.kinopoisk.ru/film/5007974/,Мэтт Энджел,США,2023,боевик,"Лулу Уилсон, Шонн Уильям Скотт",84,6.4,30 521
Трям! Здравствуйте!,,https://www.kinopoisk.ru/film/258635/,Юрий Бутырин,СССР,1980,мультфильм,"Клара Румянова, Георгий Бурков",9,8.1,30 518
Уимблдон,Wimbledon,https://www.kinopoisk.ru/film/19174/,Ричард Лонкрэйн,Великобритания,2004,мелодрама,"Пол Беттани, Кирстен Данст",98,7.1,30 500
Свинка,Cerdita,https://www.kinopoisk.ru/film/4478010/,Карлота Переда,Испания,2022,триллер,"Лаура Галан, Ричард Холмс",99,6.0,30 499
Кулак ярости,Jing wu men,https://www.kinopoisk.ru/film/24747/,Ло Вэй,Гонконг,1972,боевик,"Брюс Ли, Нора Мяо",106,7.9,30 487
Простая история,The Straight Story,https://www.kinopoisk.ru/film/442/,Дэвид Линч,США,1999,драма,"Ричард Фарнсуорт, Сисси Спейсек",112,7.8,30 481
Фанатик,The Believer,https://www.kinopoisk.ru/film/607/,Генри Бин,США,2001,драма,"Райан Гослинг, Саммер Феникс",98,7.2,30 478
Школа выживания,Drillbit Taylor,https://www.kinopoisk.ru/film/261321/,Стивен Брилл,США,2008,боевик,"Нат Хартли, Трой Джентиле",110,6.3,30 474
Великий диктатор,The Great Dictator,https://www.kinopoisk.ru/film/431/,Чарльз Чаплин,США,1940,драма,"Чарльз Чаплин, Джек Оуки",125,8.1,30 473
И пришел паук,Along Came a Spider,https://www.kinopoisk.ru/film/586/,Ли Тамахори,США,2001,триллер,"Морган Фриман, Моника Поттер",104,6.9,30 473
Как поймать перо Жар-Птицы,,https://www.kinopoisk.ru/film/586269/,Георгий Гитис,Россия,2013,мультфильм,"Михаил Озеров, Дмитрий Дюжев",80,5.3,30 470
Таинственный сад,The Secret Garden,https://www.kinopoisk.ru/film/737900/,Марк Манден,Великобритания,2020,фэнтези,"Дикси Эгерикс, Колин Фёрт",99,7.0,30 442
Аниматор,,https://www.kinopoisk.ru/film/1112114/,Илья Чижиков,Россия,2018,мелодрама,"Алексей Весёлкин, Екатерина Васильева",92,7.7,30 435
Остаться в живых,The Boat,https://www.kinopoisk.ru/film/4543609/,Алессио Лигуори,Италия,2022,триллер,"Марко Боччи, Диан Флери",90,5.8,30 432
Со вкусом можжевельника,Juniper,https://www.kinopoisk.ru/film/1338988/,Мэттью Сэвилл,Новая Зеландия,2021,драма,"Шарлотта Рэмплинг, Мартон Чокаш",94,7.3,30 425
"Та, которой не было",Celle que vous croyez,https://www.kinopoisk.ru/film/1090027/,Сэфи Неббу,Франция,2019,драма,"Жюльет Бинош, Николь Гарсия",101,7.1,30 420
Таймлесс 2: Сапфировая книга,Saphirblau,https://www.kinopoisk.ru/film/805156/,Феликс Фуксштайнер,Германия,2014,ужасы,"Йозефина Пройсс, Флориан Бартоломай",116,6.5,30 413
Я сражаюсь с великанами,I Kill Giants,https://www.kinopoisk.ru/film/924989/,Андерс Вальтер Хансен,США,2017,фэнтези,"Мэдисон Вульф, Зои Салдана",106,6.1,30 410
Контроль,Control,https://www.kinopoisk.ru/film/220395/,Антон Корбейн,Великобритания,2007,биография,"Сэм Райли, Саманта Мортон",122,7.8,30 408
Преступления будущего,Crimes of the Future,https://www.kinopoisk.ru/film/4440349/,Дэвид Кроненберг,Канада,2022,фантастика,"Вигго Мортенсен, Леа Сейду",107,5.7,30 408
Через Вселенную,Across the Universe,https://www.kinopoisk.ru/film/102531/,Джули Тэймор,США,2007,мюзикл,"Эван Рэйчел Вуд, Джим Стёрджесс",133,7.8,30 398
Lil Peep: всё для всех,Everybody's Everything,https://www.kinopoisk.ru/film/1263292/,Себастьян Джонс,США,2019,документальный,,116,7.9,30 392
Особо тяжкие преступления,High Crimes,https://www.kinopoisk.ru/film/697/,Карл Франклин,США,2002,триллер,"Эшли Джадд, Морган Фриман",115,7.1,30 372
Хамелеон,Le placard,https://www.kinopoisk.ru/film/786/,Франсис Вебер,Франция,2001,комедия,"Даниель Отой, Жерар Депардье",84,7.4,30 368
Почти семнадцать,The Edge of Seventeen,https://www.kinopoisk.ru/film/624161/,Келли Фрэмон,США,2016,драма,"Хейли Стайнфелд, Хейли Лу Ричардсон",104,6.7,30 365
Девушка с жемчужной сережкой,Girl with a Pearl Earring,https://www.kinopoisk.ru/film/8076/,Питер Уэббер,Великобритания,2003,драма,"Скарлетт Йоханссон, Колин Фёрт",100,7.2,30 353
Крылышко или ножка,L'aile ou la cuisse,https://www.kinopoisk.ru/film/57327/,Клод Зиди,Франция,1976,комедия,"Луи де Фюнес, Колюш",104,7.9,30 341
Слушатель,,https://www.kinopoisk.ru/film/208105/,Владимир Зайкин,Россия,2004,комедия,"Никита Высоцкий, Михаил Ефремов",94,7.6,30 330
Имя,Le prénom,https://www.kinopoisk.ru/film/662895/,Александр де Ла Пательер,Франция,2012,драма,"Патрик Брюэль, Валери Бенгиги",109,7.4,30 317
Клипмейкеры,,https://www.kinopoisk.ru/film/4534033/,Григорий Константинопольский,Россия,2022,комедия,"Александр Горчилин, Александр Кузнецов",100,6.0,30 290
Под солнцем Тосканы,Under the Tuscan Sun,https://www.kinopoisk.ru/film/8035/,Одри Уэллс,США,2003,драма,"Дайан Лэйн, Сандра О",113,7.4,30 274
Секретарша,Secretary,https://www.kinopoisk.ru/film/820/,Стивен Шейнберг,США,2001,драма,"Мэгги Джилленхол, Джеймс Спэйдер",107,7.0,30 274
Вертикальный предел,Vertical Limit,https://www.kinopoisk.ru/film/2209/,Мартин Кэмпбелл,США,2000,боевик,"Крис О’Доннелл, Билл Пэкстон",124,7.1,30 257
Тряпичный союз,,https://www.kinopoisk.ru/film/742198/,Михаил Местецкий,Россия,2014,комедия,"Иван Янковский, Александр Паль",97,6.3,30 242
Амбивалентность,,https://www.kinopoisk.ru/film/1171869/,Антон Бильжо,Россия,2018,драма,"Данил Стеклов, Егор Морозов",117,6.3,30 241
Вампиры,Vampires,https://www.kinopoisk.ru/film/7430/,Джон Карпентер,США,1998,ужасы,"Джеймс Вудс, Дэниэл Болдуин",108,6.8,30 237
Уолл-стрит,Wall Street,https://www.kinopoisk.ru/film/2742/,Оливер Стоун,США,1987,драма,"Майкл Дуглас, Чарли Шин",120,7.6,30 235
Ограбление с ограничениями,Die Goldfische,https://www.kinopoisk.ru/film/1108851/,Alireza Golafshan,Германия,2019,комедия,"Том Шиллинг, Клаас Хойфер-Умлауф",111,6.8,30 224
Плохой парень,Nappeun namja,https://www.kinopoisk.ru/film/76557/,Ким Ки Дук,Корея Южная,2001,драма,"Чо Джэ-хён, Со Вон",100,6.8,30 224
Потомки,The Descendants,https://www.kinopoisk.ru/film/395369/,Александр Пэйн,США,2011,драма,"Джордж Клуни, Шейлин Вудли",115,6.9,30 221
"Я, Алекс Кросс",Alex Cross,https://www.kinopoisk.ru/film/566232/,Роб Коэн,США,2012,боевик,"Тайлер Перри, Мэттью Фокс",101,6.0,30 221
Книга Генри,The Book of Henry,https://www.kinopoisk.ru/film/921610/,Колин Треворроу,США,2016,триллер,"Наоми Уоттс, Джейден Мартелл",105,7.1,30 220
Мег 2: Бездна,Meg 2: The Trench,https://www.kinopoisk.ru/film/1208708/,Бен Уитли,США,2023,ужасы,"Джейсон Стэйтем, Джеки У",116,5.5,30 211
Небеса обетованные,,https://www.kinopoisk.ru/film/7657/,Эльдар Рязанов,СССР,1991,драма,"Лия Ахеджакова, Ольга Волкова",125,7.8,30 207
Моднюша,,https://www.kinopoisk.ru/film/4765839/,Алексей Горбунов,Россия,2021,мультфильм,"Светлана Письмиченко, Инга Реза",6,7.4,30 205
Жандарм в Нью-Йорке,Le gendarme à New York,https://www.kinopoisk.ru/film/61803/,Жан Жиро,Франция,1965,комедия,"Луи де Фюнес, Мишель Галабрю",102,7.7,30 199
Меч короля,Bastarden,https://www.kinopoisk.ru/film/4991138/,Николай Арсель,Дания,2023,драма,"Мадс Миккельсен, Аманда Коллин",127,7.7,30 263
Нежность,La délicatesse,https://www.kinopoisk.ru/film/582764/,Давид Фонкинос,Франция,2011,драма,"Одри Тоту, Франсуа Дамиенс",108,7.1,30 181
Крикуны,Screamers,https://www.kinopoisk.ru/film/28214/,Кристиан Дюге,Канада,1995,ужасы,"Питер Уэллер, Рой Дюпюи",108,7.1,30 176
Частное пионерское,,https://www.kinopoisk.ru/film/714928/,Александр Карпиловский,Россия,2013,приключения,"Семён Трескунов, Егор Клинаев",80,7.3,30 172
В стране женщин,In the Land of Women,https://www.kinopoisk.ru/film/81540/,Джон Кэздан,США,2006,драма,"Адам Броди, Кристен Стюарт",97,7.1,30 153
Монстр и маги синих морей,Shan hai jing zhi zai jian guai shou,https://www.kinopoisk.ru/film/5078200/,Хуан Цзяньмин,Китай,2022,мультфильм,"Лю Цун, Ван Кай",99,7.4,30 148
Проклятый чиновник,,https://www.kinopoisk.ru/film/4411309/,Сарик Андреасян,Россия,2021,комедия,"Максим Лагашкин, Елизавета Арзамасова",82,5.5,30 130
Любовь зла,Shallow Hal,https://www.kinopoisk.ru/film/827/,Бобби Фаррелли,США,2001,фэнтези,"Гвинет Пэлтроу, Джек Блэк",109,7.0,30 129
Волчьи дети Амэ и Юки,Okami kodomo no Ame to Yuki,https://www.kinopoisk.ru/film/655515/,Мамору Хосода,Япония,2012,аниме,"Аои Миядзаки, Такао Осава",117,8.0,30 128
История Хатико,Hachiko monogatari,https://www.kinopoisk.ru/film/38145/,Сэйдзиро Кояма,Япония,1987,драма,"Тацуя Накадаи, Каору Ятигуса",107,8.1,30 126
Земун,,https://www.kinopoisk.ru/film/4388687/,Эдуард Жолнин,Россия,2021,триллер,"Евгений Ткачук, Иван Решетняк",86,6.2,30 111
Реальная белка 2,The Nut Job 2: Nutty by Nature,https://www.kinopoisk.ru/film/821738/,Кэллан Брункер,США,2017,мультфильм,"Уилл Арнетт, Майя Рудольф",95,6.3,30 104
Магия зверя,Seules les bêtes,https://www.kinopoisk.ru/film/1271908/,Доминик Молль,Франция,2019,триллер,"Дени Меноше, Лор Калами",117,6.6,30 094
Реальные пацаны против зомби,,https://www.kinopoisk.ru/film/1346360/,Жанна Кадникова,Россия,2020,комедия,"Николай Наумов, Зоя Бербер",88,4.9,30 084
Спасение,The Salvation,https://www.kinopoisk.ru/film/739423/,Кристиан Левринг,Дания,2014,боевик,"Мадс Миккельсен, Ева Грин",92,6.4,30 079
Ганди,Gandhi,https://www.kinopoisk.ru/film/513/,Ричард Аттенборо,Великобритания,1982,драма,"Бен Кингсли, Рошан Сет",191,8.1,30 077
Дыши во мгле,Dans la brume,https://www.kinopoisk.ru/film/1027311/,Дэниэл Роби,Франция,2018,фантастика,"Ромен Дюрис, Ольга Куриленко",89,5.9,30 072
Мой кровавый Валентин 3D,My Bloody Valentine,https://www.kinopoisk.ru/film/409071/,Патрик Люссье,США,2009,ужасы,"Дженсен Эклс, Джейми Кинг",101,6.1,30 069
Все ждут Рождество: Люси против Крампуса,Julemandens datter,https://www.kinopoisk.ru/film/1123169/,Кристиан Дюэкьер,Дания,2018,фэнтези,"Элла Теста Куск, Петер Сейер Винтер",92,7.1,30 031
Святые из Бундока 2: День всех святых,The Boondock Saints II: All Saints Day,https://www.kinopoisk.ru/film/427252/,Трой Даффи,США,2009,боевик,"Шон Патрик Флэнери, Норман Ридус",118,6.9,30 026
Убить дракона,,https://www.kinopoisk.ru/film/42487/,Марк Захаров,Германия (ФРГ),1988,фэнтези,"Александр Абдулов, Олег Янковский",123,8.0,30 005
Любовницы,,https://www.kinopoisk.ru/film/1100374/,Елена Хазанова,Россия,2019,комедия,"Паулина Андреева, Александра Бортич",97,5.5,29 988
Ромео и Джульетта,Romeo & Juliet,https://www.kinopoisk.ru/film/512326/,Карло Карлеи,Великобритания,2013,драма,"Дуглас Бут, Хейли Стайнфелд",118,7.0,29 969
Мёд в голове,Honig im Kopf,https://www.kinopoisk.ru/film/824406/,Тиль Швайгер,Германия,2014,драма,"Эмма Швайгер, Дитер Халлерворден",139,7.9,29 948
Окча,Okja,https://www.kinopoisk.ru/film/909848/,Пон Джун-хо,Корея Южная,2017,фантастика,"Ан Со-хён, Тильда Суинтон",120,7.0,29 921
Лузеры,The Losers,https://www.kinopoisk.ru/film/196748/,Сильвен Уайт,США,2010,боевик,"Джеффри Дин Морган, Зои Салдана",97,6.3,29 915
Голубая бездна,Le grand bleu,https://www.kinopoisk.ru/film/9579/,Люк Бессон,Франция,1988,драма,"Жан Рено, Жан-Марк Барр",132,7.8,29 907
Летучая мышь,,https://www.kinopoisk.ru/film/81428/,Ян Фрид,СССР,1978,мюзикл,"Юрий Соломин, Людмила Максакова",141,8.2,29 902
Несколько дней из жизни И.И. Обломова,,https://www.kinopoisk.ru/film/46415/,Никита Михалков,СССР,1979,драма,"Олег Табаков, Юрий Богатырев",143,7.9,29 890
Легкий способ бросить курить,,https://www.kinopoisk.ru/film/1348096/,Алексей Кузмин-Тарасов,Россия,2019,короткометражка,"Кристина Бабушкина, Игорь Верник",12,7.3,29 888
Мой тигр,Il ragazzo e la tigre,https://www.kinopoisk.ru/film/4480095/,Брандо Куиличи,Италия,2022,драма,"Санни Павар, Клаудия Джерини",94,7.6,29 877
"Тот, кто смотрит",Stranger in the Woods,https://www.kinopoisk.ru/film/5417579/,Адам Ньюачек,США,2024,триллер,"Холли Кенни, Брендин Браун",79,5.3,29 871
Служили два товарища,,https://www.kinopoisk.ru/film/43870/,Евгений Карелов,СССР,1968,драма,"Олег Янковский, Ролан Быков",93,8.2,29 840
Дед Мороз. Битва Магов,,https://www.kinopoisk.ru/film/797705/,Александр Войтинский,США,2016,фэнтези,"Фёдор Бондарчук, Алексей Кравченко",117,4.6,29 822
Шаолинь,San Siu Lam zi,https://www.kinopoisk.ru/film/484439/,Бенни Чан,Гонконг,2011,боевик,"Джеки Чан, Энди Лау",131,7.2,29 815
Призрак дома на холме,The Haunting,https://www.kinopoisk.ru/film/7094/,Ян де Бонт,США,1999,ужасы,"Лиам Нисон, Кэтрин Зета-Джонс",113,6.2,29 802
Домино,Domino,https://www.kinopoisk.ru/film/81682/,Тони Скотт,США,2005,боевик,"Кира Найтли, Микки Рурк",127,6.8,29 795
Сын маски,Son of the Mask,https://www.kinopoisk.ru/film/4982/,Лоуренс Гутерман,США,2005,фэнтези,"Джейми Кеннеди, Алан Камминг",94,3.2,29 780
Подрыв,,https://www.kinopoisk.ru/film/5257392/,Иван Павлов,Беларусь,2022,драма,"Дарья Карпеченкова, Татьяна Фёдорова",110,6.8,29 770
Фото на недобрую память,,https://www.kinopoisk.ru/film/1007733/,Алина Чеботарева,Россия,2016,мелодрама,"Ирина Таранник, Тимофей Каратаев",96,6.8,29 769
Компромат,The Dirt,https://www.kinopoisk.ru/film/262909/,Джефф Треймейн,США,2019,музыка,"Дуглас Бут, Иван Реон",108,7.4,29 732
Однажды двадцать лет спустя,,https://www.kinopoisk.ru/film/25082/,Юрий Егоров,СССР,1980,мелодрама,"Наталья Гундарева, Виктор Проскурин",77,8.0,29 681
Оно приходит ночью,It Comes at Night,https://www.kinopoisk.ru/film/998552/,Трей Эдвард Шульц,США,2017,ужасы,"Джоэл Эдгертон, Кристофер Эбботт",91,5.9,29 665
Во всем виноват енот,Wakefield,https://www.kinopoisk.ru/film/945153/,Робин Суикорд,США,2016,драма,"Брайан Крэнстон, Дженнифер Гарнер",106,6.6,29 639
Перелом,Fractured,https://www.kinopoisk.ru/film/1137716/,Брэд Андерсон,США,2019,триллер,"Сэм Уортингтон, Лили Рэйб",99,6.5,29 578
Шапито-шоу: Любовь и дружба,,https://www.kinopoisk.ru/film/468201/,Сергей Лобан,Россия,2011,комедия,"Пётр Мамонов, Вера Строкова",107,7.6,29 544
Временно беременна,Labor Pains,https://www.kinopoisk.ru/film/414923/,Лара Шапиро,США,2009,мелодрама,"Линдси Лохан, Люк Кирби",90,5.4,29 537
Разомкнутые объятия,Los abrazos rotos,https://www.kinopoisk.ru/film/402567/,Педро Альмодовар,Испания,2009,триллер,"Пенелопа Крус, Льюис Омар",135,7.4,29 524
Центр вечеринки,Party Central,https://www.kinopoisk.ru/film/789117/,Келси Манн,США,2013,мультфильм,"Билли Кристал, Чарли Дэй",5,7.5,29 518
Поющие под дождем,Singin' in the Rain,https://www.kinopoisk.ru/film/368/,Стэнли Донен,США,1951,мюзикл,"Джин Келли, Дональд О’Коннор",103,8.0,29 506
Спенсер,Spencer,https://www.kinopoisk.ru/film/1435413/,Пабло Ларраин,Великобритания,2021,биография,"Кристен Стюарт, Джек Фартинг",117,6.2,29 456
Последнее испытание,,https://www.kinopoisk.ru/film/957914/,Алексей А. Петрухин,Россия,2018,драма,"Ирина Купченко, Ирина Алферова",135,7.0,29 452
Элвис,Elvis,https://www.kinopoisk.ru/film/1179041/,Баз Лурман,США,2022,биография,"Остин Батлер, Том Хэнкс",159,7.1,29 448
Ларго Винч 2: Заговор в Бирме,Largo Winch II,https://www.kinopoisk.ru/film/464606/,Жером Салль,Франция,2011,триллер,"Томер Сисле, Шэрон Стоун",113,6.6,29 444
Срочная доставка,Premium Rush,https://www.kinopoisk.ru/film/489415/,Дэвид Кепп,США,2012,триллер,"Джозеф Гордон-Левитт, Майкл Шеннон",87,6.6,29 425
Спартак,Spartacus,https://www.kinopoisk.ru/film/475/,Стэнли Кубрик,США,1960,драма,"Кирк Дуглас, Лоуренс Оливье",197,7.9,29 416
Лондонские поля,London Fields,https://www.kinopoisk.ru/film/463858/,Мэтью Каллен,Великобритания,2018,триллер,"Эмбер Хёрд, Джим Стёрджесс",118,5.9,29 412
Жандарм и жандарметки,Le gendarme et les gendarmettes,https://www.kinopoisk.ru/film/94571/,Жан Жиро,Франция,1982,комедия,"Луи де Фюнес, Мишель Галабрю",102,7.7,29 406
Западня,Entrapment,https://www.kinopoisk.ru/film/8172/,Джон Эмиел,Великобритания,1999,боевик,"Шон Коннери, Кэтрин Зета-Джонс",113,7.4,29 404
Свет вокруг,Everything Is Illuminated,https://www.kinopoisk.ru/film/78261/,Лив Шрайбер,США,2005,драма,"Элайджа Вуд, Евгений Гудзь",106,7.7,29 399
Идеальный голос 2,Pitch Perfect 2,https://www.kinopoisk.ru/film/758197/,Элизабет Бэнкс,США,2015,комедия,"Анна Кендрик, Ребел Уилсон",114,6.4,29 399
Убить Билла: Кровавое дело целиком,Kill Bill: The Whole Bloody Affair,https://www.kinopoisk.ru/film/1000020/,Квентин Тарантино,США,2006,боевик,"Люси Лью, Вивика А. Фокс",247,8.2,29 392
Академия Рашмор,Rushmore,https://www.kinopoisk.ru/film/3586/,Уэс Андерсон,США,1998,драма,"Джейсон Шварцман, Билл Мюррей",93,7.5,29 383
Маленькие секреты,Les petits mouchoirs,https://www.kinopoisk.ru/film/521618/,Гийом Кане,Франция,2010,драма,"Франсуа Клюзе, Марион Котийяр",154,7.3,29 382
Танцы насмерть,,https://www.kinopoisk.ru/film/930535/,Андрей Волгин,Россия,2016,фантастика,"Иван Жвакин, Лукерья Ильяшенко",98,4.1,29 380
Когда зажигаются елки,,https://www.kinopoisk.ru/film/44851/,Мстислав Пащенко,СССР,1950,мультфильм,"Татьяна Барышева, Юрий Хржановский",20,8.0,29 370
Мгновения жизни,The Life Before Her Eyes,https://www.kinopoisk.ru/film/258268/,Вадим Перельман,США,2007,фэнтези,"Ума Турман, Эван Рэйчел Вуд",90,7.1,29 366
Семейное ограбление,Mes trésors,https://www.kinopoisk.ru/film/959858/,Паскаль Бурдьо,Франция,2016,комедия,"Жан Рено, Рем Кериси",91,6.2,29 367
Госфорд-парк,Gosford Park,https://www.kinopoisk.ru/film/683/,Роберт Олтмен,США,2001,драма,"Келли Макдоналд, Эмили Уотсон",137,6.8,29 360
Трещины,Cracks,https://www.kinopoisk.ru/film/406196/,Джордан Скотт,Великобритания,2009,драма,"Ева Грин, Джуно Темпл",104,7.2,29 328
Анатомия любви,Endless Love,https://www.kinopoisk.ru/film/695449/,Шана Фест,США,2014,драма,"Алекс Петтифер, Габриэлла Уайлд",104,6.7,29 325
Двенадцать месяцев,,https://www.kinopoisk.ru/film/63906/,Анатолий Граник,СССР,1973,фэнтези,"Николай Волков, Марина Мальцева",135,7.8,29 306
Магазинные воришки,Manbiki kazoku,https://www.kinopoisk.ru/film/1114967/,Хирокадзу Корээда,Япония,2018,драма,"Рири Фрэнки, Сакура Андо",120,7.4,29 289
Сфера,Sphere,https://www.kinopoisk.ru/film/4003/,Барри Левинсон,США,1998,фантастика,"Дастин Хоффман, Шэрон Стоун",134,6.9,29 280
Слежка,,https://www.kinopoisk.ru/film/5264267/,Владимир Янковский,Россия,2023,триллер,"Кристина Корбут, Никита Алефёров",100,6.3,29 259
Спасибо!,,https://www.kinopoisk.ru/film/1398968/,Мария Шульгина,Россия,2020,короткометражка,"Дмитрий Лысенков, Янина Лакоба",14,7.6,29 259
Любовь без пересадок,Amour & turbulences,https://www.kinopoisk.ru/film/694860/,Александр Кастаньетти,Франция,2013,мелодрама,"Людивин Санье, Николя Бедос",96,6.9,29 249
Ох и Ах,,https://www.kinopoisk.ru/film/439961/,Юрий Прытков,СССР,1975,мультфильм,Вячеслав Невинный,9,8.0,29 237
Ведьмак: Кошмар волка,The Witcher: Nightmare of the Wolf,https://www.kinopoisk.ru/film/1355036/,Хан Гван-иль,США,2021,мультфильм,"Тео Джеймс, Мэри Макдоннелл",83,6.9,29 235
Большое путешествие. Специальная доставка,,https://www.kinopoisk.ru/film/1445162/,Василий Ровенский,Россия,2022,мультфильм,"Диомид Виноградов, Станислав Стрелков",90,7.6,29 222
Непокоренный,Invictus,https://www.kinopoisk.ru/film/391085/,Клинт Иствуд,США,2009,история,"Морган Фриман, Мэтт Дэймон",134,7.6,29 204
Ника,,https://www.kinopoisk.ru/film/4450910/,Василиса Кузьмина,Россия,2022,биография,"Лиза Янковская, Анна Михалкова",96,7.3,29 201
Джеки,Jackie,https://www.kinopoisk.ru/film/505783/,Пабло Ларраин,США,2016,драма,"Натали Портман, Питер Сарсгаард",100,6.2,29 187
Молодожены,Just Married,https://www.kinopoisk.ru/film/6031/,Шон Леви,Германия,2003,мелодрама,"Эштон Кутчер, Бриттани Мерфи",95,6.9,29 176
Клаустрофобия,Escape Room,https://www.kinopoisk.ru/film/946735/,Уилл Верник,США,2016,ужасы,"Ивэн Уильямс, Аннабелл Стивенсон",86,4.9,29 171
Колетт,Colette,https://www.kinopoisk.ru/film/963094/,Уош Уэстмоленд,Великобритания,2017,драма,"Кира Найтли, Фиона Шоу",111,6.9,29 167
Разлом,Skjelvet,https://www.kinopoisk.ru/film/1094106/,Йон Андреас Андерсен,Норвегия,2018,боевик,"Стиг Р. Амдам, Кристоффер Йонер",106,6.3,29 140
Дом страшных секретов,The House of Deadly Secrets,https://www.kinopoisk.ru/film/1153152/,Даг Кэмпбелл,США,2018,ужасы,"Патриция МакКормак, Анджела Паттерсон",86,5.7,29 088
День выборов,,https://www.kinopoisk.ru/film/473820/,Сергей Петрейков,Россия,2009,комедия,"Ростислав Хаит, Леонид Барац",197,8.0,29 077
Белка и Стрелка: Лунные приключения,,https://www.kinopoisk.ru/film/655729/,Майкл Д’Иса-Хоган,Россия,2013,мультфильм,"Нонна Гришаева, Марьяна Спивак",90,4.8,29 069
Кошмар на улице Вязов 3: Воины сна,A Nightmare on Elm Street 3: Dream Warriors,https://www.kinopoisk.ru/film/3746/,Чак Рассел,США,1987,ужасы,"Хэзер Лэнгенкэмп, Крейг Уоссон",96,7.1,29 065
Гнездо,The Nest,https://www.kinopoisk.ru/film/1148964/,Шон Дуркин,Великобритания,2019,драма,"Джуд Лоу, Кэрри Кун",107,6.2,29 060
Киллер Джо,Killer Joe,https://www.kinopoisk.ru/film/568374/,Уильям Фридкин,США,2011,триллер,"Мэттью Макконахи, Эмиль Хирш",102,6.4,29 046
Тайная жизнь,A Hidden Life,https://www.kinopoisk.ru/film/991632/,Терренс Малик,Великобритания,2019,драма,"Аугуст Диль, Валери Пахнер",174,7.4,29 043
Хозяин,Grand Isle,https://www.kinopoisk.ru/film/1184721/,Стивен С. Кампанелли,США,2018,триллер,"Николас Кейдж, КаДи Стрикленд",97,6.2,29 033
Дети моря,Kaijuu no Kodomo,https://www.kinopoisk.ru/film/1243061/,Аюму Ватанабэ,Япония,2019,аниме,"Мана Асида, Хииро Исибаси",110,7.1,29 021
Шугалей 3,,https://www.kinopoisk.ru/film/4534195/,Михаил Вассербаум,Россия,2021,боевик,"Кирилл Полухин, Олег Абалян",90,6.9,29 021
Освобождение: Последний штурм,,https://www.kinopoisk.ru/film/392541/,Юрий Озеров,СССР,1971,военный,"Николай Олялин, Михаил Ножкин",75,8.3,29 020
Джентльмены предпочитают блондинок,Gentlemen Prefer Blondes,https://www.kinopoisk.ru/film/11662/,Ховард Хоукс,США,1953,мюзикл,"Джейн Расселл, Мэрилин Монро",91,7.7,29 011
Земля мертвых,Land of the Dead,https://www.kinopoisk.ru/film/81601/,Джордж А. Ромеро,США,2005,ужасы,"Саймон Бейкер, Джон Легуизамо",93,6.2,29 008
Я Кристина,Christiane F. - Wir Kinder vom Bahnhof Zoo,https://www.kinopoisk.ru/film/55830/,Ули Эдель,Германия (ФРГ),1981,драма,"Натя Брункхорст, Томас Хауштайн",138,7.6,28 990
Перед закатом,Before Sunset,https://www.kinopoisk.ru/film/50598/,Ричард Линклейтер,Франция,2004,драма,"Итан Хоук, Жюли Дельпи",80,7.7,28 980
Женюсь на первой встречной,Wedding Daze,https://www.kinopoisk.ru/film/195195/,Майкл Иэн Блэк,США,2006,мелодрама,"Джейсон Биггз, Айла Фишер",91,6.1,28 969
Пэн: Путешествие в Нетландию,Pan,https://www.kinopoisk.ru/film/808093/,Джо Райт,США,2015,фэнтези,"Хью Джекман, Леви Миллер",111,6.2,28 969
Плетеный человек,The Wicker Man,https://www.kinopoisk.ru/film/102148/,Нил Лабут,США,2006,ужасы,"Николас Кейдж, Эллен Бёрстин",102,5.5,28 964
Пункт назначения. Аквапарк,Aquaslash,https://www.kinopoisk.ru/film/1068711/,Рено Готье,Канада,2019,ужасы,"Николас Фонтейн, Бриттани Дрисделл",71,3.3,28 959
"Помогите, я уменьшил свою училку!","Hilfe, ich hab meine Lehrerin geschrumpft",https://www.kinopoisk.ru/film/854231/,Свен Унтервальдт мл.,Германия,2015,фэнтези,"Аня Клинг, Оскар Кеймер",90,7.6,28 954
Дикая жизнь,Wildlife,https://www.kinopoisk.ru/film/1005852/,Пол Дано,США,2017,драма,"Эд Оксенбульд, Джейк Джилленхол",105,6.8,28 949
"Боги, наверное, сошли с ума",The Gods Must Be Crazy,https://www.kinopoisk.ru/film/60285/,Джейми Юйс,ЮАР,1980,комедия,"Н!ксау, Сандра Принслу",109,8.0,28 947
Дитя тьмы,The Hollow Child,https://www.kinopoisk.ru/film/1023065/,Джереми Люттер,Канада,2017,ужасы,"Джессика Маклауд, Ханна Черами",88,5.7,28 940
Пробуждающая совесть,Skammerens datter,https://www.kinopoisk.ru/film/779668/,Кеннет Кайнц,Дания,2015,фэнтези,"Ребекка Эмили Саттруп, Петер Плаугборг",96,6.4,28 907
