Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Изгой,Cast Away,https://www.kinopoisk.ru/film/627/,Роберт Земекис,США,2000,драма,"Том Хэнкс, Хелен Хант",143.0,8.3,375 729
Капитан Марвел,Captain Marvel,https://www.kinopoisk.ru/film/843859/,Анна Боден,США,2019,фантастика,"Бри Ларсон, Сэмюэл Л. Джексон",123.0,6.5,374 245
Первый мститель,Captain America: The First Avenger,https://www.kinopoisk.ru/film/160946/,Джо Джонстон,США,2011,фантастика,"Крис Эванс, Хейли Этвелл",124.0,6.7,373 049
О чём говорят мужчины,,https://www.kinopoisk.ru/film/468102/,Дмитрий Дьяченко,Россия,2010,комедия,"Леонид Барац, Александр Демидов",93.0,7.8,372 959
Человек-паук 3: Враг в отражении,Spider-Man 3,https://www.kinopoisk.ru/film/82441/,Сэм Рэйми,США,2007,фантастика,"Тоби Магуайр, Кирстен Данст",139.0,7.1,370 985
Бэтмен: Начало,Batman Begins,https://www.kinopoisk.ru/film/47237/,Кристофер Нолан,США,2005,боевик,"Кристиан Бэйл, Кэти Холмс",140.0,7.9,370 449
Шестое чувство,The Sixth Sense,https://www.kinopoisk.ru/film/395/,М. Найт Шьямалан,США,1999,детектив,"Брюс Уиллис, Хейли Джоэл Осмент",107.0,8.2,369 562
Одиннадцать друзей Оушена,Ocean's Eleven,https://www.kinopoisk.ru/film/770/,Стивен Содерберг,США,2001,криминал,"Джордж Клуни, Брэд Питт",116.0,8.1,368 031
Голодные игры: И вспыхнет пламя,The Hunger Games: Catching Fire,https://www.kinopoisk.ru/film/602373/,Фрэнсис Лоуренс,США,2013,фантастика,"Дженнифер Лоуренс, Джош Хатчерсон",146.0,7.5,367 746
Ла-Ла Ленд,La La Land,https://www.kinopoisk.ru/film/841081/,Дэмьен Шазелл,США,2016,мюзикл,"Райан Гослинг, Эмма Стоун",128.0,8.0,367 429
Пол: Секретный материальчик,Paul,https://www.kinopoisk.ru/film/427855/,Грег Моттола,Великобритания,2011,фантастика,"Саймон Пегг, Ник Фрост",104.0,7.2,367 107
Назад в будущее 3,Back to the Future Part III,https://www.kinopoisk.ru/film/7103/,Роберт Земекис,США,1990,фантастика,"Майкл Дж. Фокс, Кристофер Ллойд",118.0,8.2,366 150
Добро пожаловать в Zомбилэнд,Zombieland,https://www.kinopoisk.ru/film/427122/,Рубен Фляйшер,США,2009,ужасы,"Джесси Айзенберг, Вуди Харрельсон",84.0,7.4,365 420
