Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Под Сильвер-Лэйк,Under the Silver Lake,https://www.kinopoisk.ru/film/980327/,Дэвид Роберт Митчелл,США,2017,детектив,139.0,6.4,38876,Эндрю Гарфилд,Райли Кио,0,2
Спектральный,Spectral,https://www.kinopoisk.ru/film/708955/,Ник Матьё,США,2016,фантастика,108.0,6.0,38857,Джеймс Бэдж Дейл,Эмили Мортимер,0,0
Трудная мишень,Hard Target,https://www.kinopoisk.ru/film/2281/,Джон Ву,США,1993,боевик,97.0,7.1,38846,Жан-Клод Ван Дамм,Янси Батлер,0,0
Сахара,Sahara,https://www.kinopoisk.ru/film/23048/,Брек Эйснер,Великобритания,2005,боевик,124.0,6.7,38820,Мэттью Макконахи,Пенелопа Крус,0,3
Шкатулка проклятия,The Possession,https://www.kinopoisk.ru/film/88147/,Уле Борнедаль,США,2011,ужасы,92.0,5.9,38816,Джеффри Дин Морган,Наташа Калис,0,0
Магазинчик самоубийств 3D,Le magasin des suicides,https://www.kinopoisk.ru/film/548608/,Патрис Леконт,Франция,2012,мультфильм,79.0,6.2,38815,Бернар Алан,Изабель Спад,0,0
Небесный тихоход,,https://www.kinopoisk.ru/film/46376/,Семен Тимошенко,СССР,1945,комедия,83.0,8.1,38780,Николай Крючков,Василий Меркурьев,0,0
Запретная зона,Chernobyl Diaries,https://www.kinopoisk.ru/film/603731/,Брэдли Паркер,США,2012,ужасы,86.0,5.0,38754,Джонатан Садовский,Девин Келли,0,0
Голодный кролик атакует,Seeking Justice,https://www.kinopoisk.ru/film/461946/,Роджер Дональдсон,США,2011,боевик,105.0,6.6,38745,Николас Кейдж,Дженьюэри Джонс,0,2
Аризонская мечта,Arizona Dream,https://www.kinopoisk.ru/film/11064/,Эмир Кустурица,Франция,1991,фэнтези,142.0,7.8,38712,Джонни Депп,Джерри Льюис,0,3
Новогодние сваты,,https://www.kinopoisk.ru/film/574259/,Евгений Бедарев,Украина,2010,мюзикл,97.0,6.3,38708,Фёдор Добронравов,Татьяна Кравченко,0,0
Линкольн,Lincoln,https://www.kinopoisk.ru/film/102122/,Стивен Спилберг,США,2012,драма,150.0,6.9,38653,Дэниэл Дэй-Льюис,Салли Филд,9,2
Кукла 2: Брамс,Brahms: The Boy II,https://www.kinopoisk.ru/film/1208563/,Уильям Брент Белл,США,2020,ужасы,86.0,5.4,38641,Кристофер Конвери,Кэти Холмс,0,0
5 неизвестных,Unknown,https://www.kinopoisk.ru/film/102142/,Саймон Брэнд,США,2005,триллер,85.0,6.7,38639,Джеймс Кэвизел,Грег Кинниэр,0,0
Мой ласковый и нежный зверь,,https://www.kinopoisk.ru/film/46673/,Эмиль Лотяну,СССР,1978,драма,109.0,7.7,38609,Галина Беляева,Олег Янковский,0,0
Тринадцать привидений,Thir13en Ghosts,https://www.kinopoisk.ru/film/7639/,Стив Бек,Канада,2001,ужасы,91.0,6.7,38605,Тони Шэлуб,Эмбет Дэвидц,0,0
Голый пистолет 2 1/2: Запах страха,The Naked Gun 2½: The Smell of Fear,https://www.kinopoisk.ru/film/2388/,Дэвид Цукер,США,1991,комедия,85.0,7.2,38600,Лесли Нильсен,Присцилла Пресли,0,0
Сид и Нэнси,Sid and Nancy,https://www.kinopoisk.ru/film/6733/,Алекс Кокс,Великобритания,1986,драма,112.0,7.3,38582,Гари Олдман,Хлоя Уэбб,0,0
Дальний космос,Stowaway,https://www.kinopoisk.ru/film/1207559/,Джо Пенна,США,2021,фантастика,116.0,5.9,38519,Анна Кендрик,Дэниэл Дэ Ким,0,0
Поездка в Америку 2,Coming 2 America,https://www.kinopoisk.ru/film/1045017/,Крэйг Брюэр,США,2021,комедия,110.0,5.3,38509,Эдди Мерфи,Арсенио Холл,0,0
Осторожно! Двери закрываются,Sliding Doors,https://www.kinopoisk.ru/film/13626/,Питер Хауит,Великобритания,1997,фэнтези,99.0,7.2,38508,Гвинет Пэлтроу,Джон Ханна,0,1
Фредди против Джейсона,Freddy vs. Jason,https://www.kinopoisk.ru/film/8005/,Ронни Юй,Канада,2003,ужасы,97.0,6.1,38505,Роберт Инглунд,Кен Кирзингер,0,0
Чёрный рыцарь,Black Knight,https://www.kinopoisk.ru/film/8110/,Джил Джангер,США,2001,фэнтези,95.0,6.5,38500,Мартин Лоуренс,Марша Томасон,0,0
Доспехи бога: В поисках сокровищ,Gong fu yu jia,https://www.kinopoisk.ru/film/851808/,Стэнли Тун,Китай,2017,фэнтези,98.0,5.7,38494,Джеки Чан,Чжан Исин,0,0
Непослушник 2,,https://www.kinopoisk.ru/film/5023667/,Владимир Котт,Россия,2022,комедия,108.0,6.1,38450,Виктор Хориняк,Юрий Кузнецов,0,0
Подарок с характером,,https://www.kinopoisk.ru/film/771230/,Карен Оганесян,Россия,2014,семейный,88.0,5.4,38448,Михаил Галустян,Артём Фадеев,0,0
Сказка для старых,,https://www.kinopoisk.ru/film/4739575/,Фёдор Лавров,Россия,2022,драма,78.0,6.0,38445,Кирилл Полухин,Фёдор Лавров,0,0
Август. Восьмого,,https://www.kinopoisk.ru/film/565158/,Джаник Файзиев,Россия,2012,драма,120.0,6.1,38428,Светлана Иванова,Максим Матвеев,0,0
Паранормальное явление 3,Paranormal Activity 3,https://www.kinopoisk.ru/film/573239/,Генри Джуст,США,2011,ужасы,81.0,5.9,38418,Лорен Биттнер,Кристофер Николас Смит,0,0
Соседи. На тропе войны 2,Neighbors 2: Sorority Rising,https://www.kinopoisk.ru/film/891509/,Николас Столлер,США,2016,комедия,92.0,5.3,38401,Сет Роген,Зак Эфрон,0,0
Волшебная сказка на Рождество,Sagan om Karl-Bertil Jonssons julafton,https://www.kinopoisk.ru/film/4382935/,Ханнес Холм,Швеция,2021,драма,104.0,7.2,38384,Йонас Карлссон,Симон Ларссон,0,0
Обратимая реальность,,https://www.kinopoisk.ru/film/1354764/,Дмитрий Константинов,Россия,2021,фантастика,84.0,6.4,38377,Павел Чинарёв,Вера Колесникова,0,0
Диана: История любви,Diana,https://www.kinopoisk.ru/film/572337/,Оливер Хиршбигель,Великобритания,2013,драма,112.0,6.7,38364,Наоми Уоттс,Навин Эндрюс,0,2
Убойная игра,Gatlopp,https://www.kinopoisk.ru/film/1341604/,Альберто Белли,США,2022,комедия,80.0,6.5,38332,Эмми Рейвер-Лэмпман,Джим Махони,0,0
Кэнди,Candy,https://www.kinopoisk.ru/film/88190/,Нил Армфилд,Австралия,2005,драма,104.0,7.6,38326,Хит Леджер,Эбби Корниш,0,1
Принц Египта,The Prince of Egypt,https://www.kinopoisk.ru/film/3469/,Бренда Чепмен,США,1998,мультфильм,99.0,7.7,38307,Вэл Килмер,Рэйф Файнс,0,1
Предел риска,Margin Call,https://www.kinopoisk.ru/film/503671/,Джей Си Чендор,США,2011,триллер,107.0,6.7,38303,Кевин Спейси,Пол Беттани,0,1
Разборки в стиле кунг-фу,Kung fu,https://www.kinopoisk.ru/film/61370/,Стивен Чоу,Гонконг,2004,боевик,99.0,7.6,38301,Стивен Чоу,Фэн Сяоган,0,0
Дамбо,Dumbo,https://www.kinopoisk.ru/film/8225/,Сэмюэл Армстронг,США,1941,мультфильм,64.0,7.8,38282,,,0,0
Любовь по правилам и без,Something's Gotta Give,https://www.kinopoisk.ru/film/2953/,Нэнси Майерс,США,2003,драма,128.0,7.2,38260,Джек Николсон,Дайан Китон,0,12
Это — Англия,This Is England,https://www.kinopoisk.ru/film/197450/,Шэйн Медоуз,Великобритания,2006,драма,101.0,7.6,38249,Томас Тургус,Стивен Грэм,0,0
Все ненавидят Йохана,Alle hater Johan,https://www.kinopoisk.ru/film/4720113/,Халлвар Витсё,Норвегия,2021,комедия,89.0,7.2,38240,Пол Сверре Валхейм Хаген,Ингрид Больсё Бердаль,0,0
Кошки против собак,Cats & Dogs,https://www.kinopoisk.ru/film/3892/,Лоуренс Гутерман,США,2001,фэнтези,87.0,6.0,38236,Джефф Голдблюм,Элизабет Перкинс,0,0
Звёздочки на земле,Taare Zameen Par,https://www.kinopoisk.ru/film/280562/,Аамир Кхан,Индия,2007,драма,162.0,8.1,38200,Даршил Сафари,Аамир Кхан,0,0
Отвязные каникулы,Spring Breakers,https://www.kinopoisk.ru/film/645038/,Хармони Корин,США,2012,криминал,94.0,5.0,38200,Джеймс Франко,Эшли Бенсон,0,1
Паранормальные явления. Дом призраков,Deadstream,https://www.kinopoisk.ru/film/1397125/,Джозеф Винтер,США,2022,ужасы,87.0,5.9,38192,Джозеф Винтер,Мелани Стоун,0,0
"Джентльмены, удачи!",,https://www.kinopoisk.ru/film/608706/,Александр Баранов,Россия,2012,комедия,96.0,3.0,38184,Сергей Безруков,Гоша Куценко,0,0
Королева проклятых,Queen of the Damned,https://www.kinopoisk.ru/film/22412/,Майкл Раймер,США,2002,ужасы,101.0,7.0,38167,Стюарт Таунсенд,Маргерит Моро,0,0
Крепость: Щитом и мечом,,https://www.kinopoisk.ru/film/566549/,Федор Дмитриев,Россия,2015,мультфильм,73.0,7.5,38162,Пётр Фёдоров,Евгений Стычкин,0,0
Саботаж,Sabotage,https://www.kinopoisk.ru/film/568378/,Дэвид Эйр,США,2013,боевик,109.0,5.7,38161,Арнольд Шварценеггер,Сэм Уортингтон,0,0
Портрет девушки в огне,Portrait de la jeune fille en feu,https://www.kinopoisk.ru/film/1169370/,Селин Сьямма,Франция,2019,драма,121.0,7.2,38161,Ноэми Мерлан,Адель Энель,0,0
Судная ночь. Начало,The First Purge,https://www.kinopoisk.ru/film/1021671/,Герард МакМюррей,США,2018,ужасы,97.0,5.5,38151,И’лан Ноэль,Лекс Скотт Дэвис,0,0
"Человек, который нарисовал Бога",L'uomo che disegnò Dio,https://www.kinopoisk.ru/film/1221181/,Франко Неро,Италия,2022,драма,100.0,7.0,38085,Франко Неро,Стефания Рокка,0,0
Друзья друзей,,https://www.kinopoisk.ru/film/742027/,Артем Аксененко,Россия,2013,комедия,87.0,3.3,38072,Нюша Шурочкина,Гарик Харламов,0,0
Мария-Антуанетта,Marie Antoinette,https://www.kinopoisk.ru/film/81561/,София Коппола,США,2005,драма,123.0,6.8,38069,Кирстен Данст,Джейсон Шварцман,1,0
Пиноккио,Pinocchio,https://www.kinopoisk.ru/film/8220/,Норман Фергюсон,США,1940,мультфильм,88.0,7.6,38049,,,0,0
Мой ужасный сосед,A Man Called Otto,https://www.kinopoisk.ru/film/1074910/,Марк Форстер,Швеция,2022,драма,126.0,7.6,38031,Том Хэнкс,Мариана Тревиньо,0,5
Море внутри,Mar adentro,https://www.kinopoisk.ru/film/41830/,Алехандро Аменабар,Испания,2004,драма,126.0,7.8,38026,Хавьер Бардем,Белен Руэда,0,3
Невидимый,The Invisible,https://www.kinopoisk.ru/film/86573/,Дэвид С. Гойер,Швеция,2007,фэнтези,102.0,7.2,38023,Джастин Чатвин,Маргарита Левиева,0,0
Добро пожаловать в рай!,Into the Blue,https://www.kinopoisk.ru/film/61261/,Джон Стокуэлл,США,2005,боевик,110.0,6.9,38022,Пол Уокер,Джессика Альба,0,0
Конец света,End of Days,https://www.kinopoisk.ru/film/6298/,Питер Хайамс,США,1999,ужасы,122.0,6.7,38021,Арнольд Шварценеггер,Гэбриел Бирн,0,0
Брат,Hyeong,https://www.kinopoisk.ru/film/1006695/,Квон Су-гён,Корея Южная,2016,драма,110.0,8.1,38008,Чо Джон-сок,То Гён-су,0,0
Варежка,,https://www.kinopoisk.ru/film/258016/,Роман Качанов,СССР,1967,мультфильм,10.0,8.2,37990,,,0,0
Гадкий утёнок,,https://www.kinopoisk.ru/film/423042/,Владимир Дегтярев,СССР,1955,мультфильм,19.0,8.1,37968,Николай Литвинов,Георгий Вицин,0,0
За двумя зайцами,,https://www.kinopoisk.ru/film/45174/,Виктор Иванов,СССР,1961,мюзикл,77.0,8.1,37967,Олег Борисов,Маргарита Криницына,0,0
"Южный Парк: Большой, длинный, необрезанный",South Park: Bigger Longer & Uncut,https://www.kinopoisk.ru/film/2407/,Трей Паркер,США,1999,мультфильм,81.0,7.7,37937,Трей Паркер,Мэтт Стоун,0,0
Лавлэйс,Lovelace,https://www.kinopoisk.ru/film/578945/,Роб Эпштейн,США,2013,драма,89.0,6.4,37938,Аманда Сайфред,Питер Сарсгаард,0,0
Хичкок,Hitchcock,https://www.kinopoisk.ru/film/418783/,Саша Джерваси,Великобритания,2012,драма,98.0,7.2,37932,Энтони Хопкинс,Хелен Миррен,0,6
Кэрри,Carrie,https://www.kinopoisk.ru/film/7459/,Брайан Де Пальма,США,1976,ужасы,98.0,7.2,37913,Сисси Спейсек,Пайпер Лори,0,7
Жизнь за гранью,After.Life,https://www.kinopoisk.ru/film/261182/,Агнешка Войтович-Восло,США,2009,триллер,104.0,6.6,37913,Кристина Риччи,Лиам Нисон,0,1
Полуночный экспресс,The Midnight Meat Train,https://www.kinopoisk.ru/film/258775/,Рюхэй Китамура,США,2008,ужасы,94.0,6.2,37903,Брэдли Купер,Лесли Бибб,0,4
Ненависть,La haine,https://www.kinopoisk.ru/film/9448/,Матьё Кассовиц,Франция,1995,драма,98.0,7.8,37902,Венсан Кассель,Юбер Кунде,0,0
Как трусливый Роберт Форд убил Джесси Джеймса,The Assassination of Jesse James by the Coward Robert Ford,https://www.kinopoisk.ru/film/102127/,Эндрю Доминик,США,2007,вестерн,160.0,7.1,37855,Брэд Питт,Кейси Аффлек,0,3
Пятьдесят оттенков черного,Fifty Shades of Black,https://www.kinopoisk.ru/film/909790/,Майкл Тиддес,США,2016,комедия,93.0,4.2,37829,Марлон Уайанс,Кали Хоук,0,0
Одноклассницы,,https://www.kinopoisk.ru/film/927771/,Дмитрий Суворов,Россия,2016,комедия,80.0,2.9,37822,Светлана Ходченкова,Екатерина Вилкова,0,0
"Мама, не горюй",,https://www.kinopoisk.ru/film/41595/,Максим Пежемский,Россия,1997,комедия,83.0,7.1,37821,Гоша Куценко,Евгений Сидихин,0,0
Тристан и Изольда,Tristan + Isolde,https://www.kinopoisk.ru/film/61243/,Кевин Рейнольдс,Чехия,2005,мелодрама,125.0,7.3,37811,Джеймс Франко,София Майлс,0,1
Ларс и настоящая девушка,Lars and the Real Girl,https://www.kinopoisk.ru/film/256497/,Крэйг Гиллеспи,США,2007,драма,106.0,7.1,37798,Райан Гослинг,Эмили Мортимер,0,2
Новая полицейская история,Xin jingcha gushi,https://www.kinopoisk.ru/film/77445/,Бенни Чан,Гонконг,2004,боевик,123.0,7.4,37776,Джеки Чан,Николас Це,0,0
"Никки, дьявол младший",Little Nicky,https://www.kinopoisk.ru/film/4139/,Стивен Брилл,США,2000,фэнтези,90.0,6.0,37737,Адам Сэндлер,Патриша Аркетт,0,0
План Б,The Back-up Plan,https://www.kinopoisk.ru/film/437503/,Алан Пол,США,2010,мелодрама,104.0,6.2,37727,Дженнифер Лопес,Алекс О’Локлин,0,0
Холодный расчет,The Card Counter,https://www.kinopoisk.ru/film/1320744/,Пол Шредер,США,2021,триллер,111.0,5.8,37685,Оскар Айзек,Тиффани Хэддиш,0,0
Верзила,The Tall Man,https://www.kinopoisk.ru/film/524942/,Паскаль Ложье,Канада,2012,ужасы,106.0,6.3,37669,Джессика Бил,Джоделль Ферланд,0,0
Квест,,https://www.kinopoisk.ru/film/5118213/,Иван Архипов,Россия,2023,приключения,108.0,6.0,37653,Роман Курцын,Олег Тактаров,0,0
На Париж,,https://www.kinopoisk.ru/film/1046486/,Сергей Саркисов,Россия,2018,история,95.0,3.4,37628,Дмитрий Певцов,Сергей Маковецкий,0,0
Одесса,,https://www.kinopoisk.ru/film/1176435/,Валерий Тодоровский,Россия,2019,драма,130.0,6.8,37580,Ирина Розанова,Евгений Цыганов,0,0
Как потерять друзей и заставить всех тебя ненавидеть,How to Lose Friends & Alienate People,https://www.kinopoisk.ru/film/107413/,Роберт Б. Уайди,Великобритания,2008,драма,110.0,6.5,37575,Саймон Пегг,Меган Фокс,0,0
Великий уравнитель 3,The Equalizer 3,https://www.kinopoisk.ru/film/4869021/,Антуан Фукуа,США,2023,боевик,109.0,6.6,37570,Дензел Вашингтон,Дакота Фаннинг,0,6
Гений,Genius,https://www.kinopoisk.ru/film/557787/,Майкл Грандадж,Великобритания,2015,драма,104.0,6.9,37566,Колин Фёрт,Джуд Лоу,0,1
Что скрывает ложь,Trespass,https://www.kinopoisk.ru/film/535367/,Джоэл Шумахер,США,2011,триллер,87.0,6.0,37537,Николас Кейдж,Николь Кидман,0,6
Сердце дракона,DragonHeart,https://www.kinopoisk.ru/film/6508/,Роб Коэн,США,1996,фэнтези,99.0,7.7,37520,Деннис Куэйд,Шон Коннери,0,0
Поп,,https://www.kinopoisk.ru/film/427887/,Владимир Хотиненко,Россия,2009,драма,124.0,7.4,37511,Сергей Маковецкий,Нина Усатова,0,0
"Сало, или 120 дней Содома",Salò o le 120 giornate di Sodoma,https://www.kinopoisk.ru/film/39864/,Пьер Паоло Пазолини,Италия,1975,драма,117.0,5.4,37503,Паоло Боначелли,Джорджо Катальди,0,0
Дом в конце улицы,House at the End of the Street,https://www.kinopoisk.ru/film/496826/,Марк Тондерай,США,2011,триллер,97.0,5.9,37492,Дженнифер Лоуренс,Макс Тириот,0,3
Идеальный хозяин,The Perfect Host,https://www.kinopoisk.ru/film/437479/,Николас Томней,США,2010,триллер,93.0,6.7,37486,Дэвид Хайд Пирс,Клейн Кроуфорд,0,0
Яма,The Hole,https://www.kinopoisk.ru/film/700/,Ник Хэмм,Великобритания,2001,триллер,102.0,7.0,37467,Тора Бёрч,Десмонд Хэррингтон,0,0
Бразилия,Brazil,https://www.kinopoisk.ru/film/483/,Терри Гиллиам,Великобритания,1985,фантастика,132.0,7.7,37462,Джонатан Прайс,Роберт Де Ниро,0,6
Мара. Пожиратель снов,Mara,https://www.kinopoisk.ru/film/608498/,Клайв Тонг,Великобритания,2017,ужасы,98.0,5.3,37455,Ольга Куриленко,Крэйг Конуэй,0,0
Макс Стил,Max Steel,https://www.kinopoisk.ru/film/837766/,Стюарт Хендлер,Великобритания,2016,фантастика,92.0,5.1,37442,Бен Уинчелл,Джош Бренер,0,0
Уоллес и Громит: Проклятие кролика-оборотня,The Curse of the Were-Rabbit,https://www.kinopoisk.ru/film/22399/,Стив Бокс,Великобритания,2005,мультфильм,85.0,7.2,37416,Питер Саллис,Рэйф Файнс,0,1
Солдат Иван Бровкин,,https://www.kinopoisk.ru/film/43899/,Иван Лукинский,СССР,1955,мюзикл,87.0,7.9,37335,Леонид Харитонов,Татьяна Пельтцер,0,0
Снежная королева,,https://www.kinopoisk.ru/film/43890/,Геннадий Казанский,СССР,1966,фэнтези,85.0,7.7,37325,Елена Проклова,Слава Цюпа,0,0
Иллюзия побега,Superposition,https://www.kinopoisk.ru/film/5121110/,Каролине Люнгбю,Дания,2023,триллер,105.0,6.0,37303,Мария Бах Хансен,Миккель Боэ Фёльсгор,0,0
Последнее слово,The Last Word,https://www.kinopoisk.ru/film/933117/,Марк Пеллингтон,США,2016,драма,108.0,7.4,37276,Ширли Маклейн,Аманда Сайфред,0,5
"Осторожно, дети!",,https://www.kinopoisk.ru/film/1445206/,Анна Сичинская,Россия,2020,комедия,85.0,7.1,37276,Кирилл Жандаров,Елизавета Нилова,0,0
Ма,Ma,https://www.kinopoisk.ru/film/1112909/,Тейт Тейлор,Япония,2019,триллер,99.0,5.5,37237,Октавия Спенсер,Диана Сильверс,0,0
Смех и горе у Бела моря,,https://www.kinopoisk.ru/film/279828/,Леонид Носырев,СССР,1988,мультфильм,59.0,8.2,37233,Анатолий Баранцев,Евгений Леонов,0,0
1+1: Голливудская история,The Upside,https://www.kinopoisk.ru/film/596484/,Нил Бёргер,США,2018,драма,126.0,6.2,37224,Брайан Крэнстон,Кевин Харт,0,1
Алиса в стране чудес,Alice in Wonderland,https://www.kinopoisk.ru/film/19504/,Клайд Джероними,США,1951,мультфильм,75.0,7.8,37201,Катрин Бомонт,Эд Винн,0,0
Охота на волка,Hunter Hunter,https://www.kinopoisk.ru/film/689159/,Шон Линден,Канада,2020,триллер,93.0,6.5,37197,Камилль Салливан,Саммер Х. Хауэлл,0,0
Практическая магия,Practical Magic,https://www.kinopoisk.ru/film/6129/,Гриффин Данн,США,1998,фэнтези,104.0,7.2,37187,Сандра Буллок,Николь Кидман,0,6
Стэпфордские жены,The Stepford Wives,https://www.kinopoisk.ru/film/6888/,Фрэнк Оз,США,2004,ужасы,93.0,6.6,37178,Николь Кидман,Мэттью Бродерик,0,4
Шайбу! Шайбу!,,https://www.kinopoisk.ru/film/447521/,Борис Дёжкин,СССР,1964,мультфильм,21.0,7.9,37143,,,0,0
Пеликан,Nicostratos le pélican,https://www.kinopoisk.ru/film/589657/,Оливье Орле,Франция,2011,драма,88.0,7.8,37136,Эмир Кустурица,Тибо Ле Геллек,0,0
Умка ищет друга,,https://www.kinopoisk.ru/film/438264/,Владимир Попов,СССР,1970,мультфильм,10.0,8.1,37134,Маргарита Корабельникова,Вера Васильева,0,0
Невероятное путешествие мистера Спивета,The Young and Prodigious T.S. Spivet,https://www.kinopoisk.ru/film/596318/,Жан-Пьер Жёне,Франция,2013,приключения,105.0,7.4,37110,Хелена Бонем Картер,Джуди Дэвис,0,1
Знакомство со спартанцами,Meet the Spartans,https://www.kinopoisk.ru/film/391766/,Джейсон Фридберг,США,2008,комедия,87.0,3.9,37108,Шон Магуайр,Кармен Электра,0,0
Девственницы-самоубийцы,The Virgin Suicides,https://www.kinopoisk.ru/film/7311/,София Коппола,США,1999,драма,97.0,7.0,37099,Джеймс Вудс,Кэтлин Тёрнер,1,2
За пределами Вселенной,The Beyond,https://www.kinopoisk.ru/film/978979/,Hasraf Dulull,Великобритания,2017,фантастика,103.0,5.9,37062,Джейн Перри,Найджел Барбер,0,0
Лица в толпе,Faces in the Crowd,https://www.kinopoisk.ru/film/488184/,Жюльен Манья,Канада,2011,триллер,103.0,6.6,37061,Милла Йовович,Джулиан МакМэхон,0,0
Престо,Presto,https://www.kinopoisk.ru/film/416841/,Даг Свитлэнд,США,2008,мультфильм,5.0,8.2,37060,,,0,0
В лесах Сибири,Dans les forêts de Sibérie,https://www.kinopoisk.ru/film/910536/,Сэфи Неббу,Франция,2016,драма,105.0,7.0,37035,Рафаэль Персонас,Евгений Сидихин,0,0
Затмение,,https://www.kinopoisk.ru/film/843037/,Иван Кордзаия,Россия,2017,фэнтези,109.0,6.0,36986,Александр Петров,Диана Пожарская,0,0
Дорогой Фрэнки,Dear Frankie,https://www.kinopoisk.ru/film/61627/,Шона Ауэрбак,Великобритания,2003,драма,105.0,7.8,36968,Джерард Батлер,Эмили Мортимер,0,0
Смертельная битва 2: Истребление,Mortal Kombat: Annihilation,https://www.kinopoisk.ru/film/6842/,Джон Р. Леонетти,США,1997,фантастика,95.0,5.8,36958,Робин Шоу,Талиса Сото,0,0
Судный день,Doomsday,https://www.kinopoisk.ru/film/220594/,Нил Маршалл,Великобритания,2008,фантастика,105.0,6.2,36906,Рона Митра,Боб Хоскинс,0,1
Мастер Z: Наследие Ип Мана,Cheung Tin-Chi,https://www.kinopoisk.ru/film/1048339/,Юэнь У-Пин,Китай,2018,боевик,107.0,7.1,36898,Макс Чжан,Ада Лю,0,0
Стой! Или моя мама будет стрелять,Stop! Or My Mom Will Shoot,https://www.kinopoisk.ru/film/9556/,Роджер Споттисвуд,США,1992,комедия,87.0,6.7,36887,Сильвестр Сталлоне,Эстель Гетти,0,0
Перед классом,Front of the Class,https://www.kinopoisk.ru/film/428457/,Питер Уэрнер,США,2008,драма,95.0,8.1,36877,Джеймс Волк,Трит Уильямс,0,0
Новогодний корпоратив,Office Christmas Party,https://www.kinopoisk.ru/film/566090/,Джош Гордон,США,2016,комедия,105.0,5.7,36877,Джейсон Бейтман,Оливия Манн,0,0
Побег из Нью-Йорка,Escape from New York,https://www.kinopoisk.ru/film/4404/,Джон Карпентер,США,1981,фантастика,99.0,7.0,36863,Курт Рассел,Ли Ван Клиф,0,0
10 дней без мамы в Куршевеле,10 jours encore sans maman,https://www.kinopoisk.ru/film/4965301/,Людовик Бернард,Франция,2023,комедия,96.0,6.9,36862,Франк Дюбоск,Ор Атика,0,0
Капоне. Лицо со шрамом,Capone,https://www.kinopoisk.ru/film/1007761/,Джош Транк,США,2020,драма,103.0,5.4,36845,Том Харди,Линда Карделлини,0,0
Дверной замок,Doeorak,https://www.kinopoisk.ru/film/1072947/,Ли Гвон,Корея Южная,2018,триллер,102.0,6.8,36845,Кон Хё-джин,Ким Е-вон,0,0
О любви,,https://www.kinopoisk.ru/film/939638/,Владимир Бортко,Россия,2016,мелодрама,95.0,6.2,36835,Аня Чиповская,Дмитрий Певцов,0,0
Это всё он,He's All That,https://www.kinopoisk.ru/film/902256/,Марк Уотерс,США,2021,мелодрама,88.0,6.2,36825,Эддисон Рэй,Тэннер Бьюкэнэн,0,0
Пустошь тьмы и зла,The Dark and the Wicked,https://www.kinopoisk.ru/film/1259607/,Брайан Бертино,США,2020,ужасы,95.0,5.6,36810,Марин Айрлэнд,Майкл Эбботт мл.,0,0
Впусти меня,Låt den rätte komma in,https://www.kinopoisk.ru/film/411761/,Томас Альфредсон,Швеция,2008,ужасы,114.0,6.9,36810,Коре Хедебрант,Лина Леандерссон,0,0
Паранормальное,The Endless,https://www.kinopoisk.ru/film/848004/,Джастин Бенсон,США,2017,ужасы,111.0,6.3,36809,Аарон Мурхед,Джастин Бенсон,0,0
Аббатство Даунтон,Downton Abbey,https://www.kinopoisk.ru/film/1033386/,Майкл Энглер,Великобритания,2019,драма,122.0,7.4,36780,Мишель Докери,Мэттью Гуд,0,0
Загадочное убийство,Weekend,https://www.kinopoisk.ru/film/1356421/,Риккардо Гранди,Италия,2020,триллер,84.0,5.8,36775,Лоренцо Цурцоло,Якопо Ольмо Антинори,0,0
Второй шанс,Gridiron Gang,https://www.kinopoisk.ru/film/84034/,Фил Джоану,США,2006,криминал,125.0,7.7,36746,Дуэйн Джонсон,Иксзибит,0,0
Восставший из ада,Hellraiser,https://www.kinopoisk.ru/film/35614/,Клайв Баркер,Великобритания,1987,ужасы,93.0,7.1,36745,Эндрю Робинсон,Клэр Хиггинс,0,0
Мордекай,Mortdecai,https://www.kinopoisk.ru/film/778963/,Дэвид Кепп,США,2015,комедия,107.0,5.8,36743,Джонни Депп,Гвинет Пэлтроу,0,4
За пивом!,The Greatest Beer Run Ever,https://www.kinopoisk.ru/film/1389553/,Питер Фаррелли,США,2022,военный,126.0,7.4,36730,Зак Эфрон,Рассел Кроу,0,3
Пианистка,La Pianiste,https://www.kinopoisk.ru/film/784/,Михаэль Ханеке,Франция,2001,драма,131.0,7.2,36724,Изабель Юппер,Анни Жирардо,1,1
Четыре Рождества,Four Christmases,https://www.kinopoisk.ru/film/393067/,Сет Гордон,Германия,2008,комедия,88.0,6.2,36723,Винс Вон,Риз Уизерспун,0,2
Радио,Radio,https://www.kinopoisk.ru/film/8067/,Майкл Толлин,США,2003,драма,109.0,8.0,36715,Кьюба Гудинг мл.,Эд Харрис,0,1
Последняя песня,The Last Song,https://www.kinopoisk.ru/film/455540/,Джули Энн Робинсон,США,2010,драма,108.0,7.4,36690,Майли Сайрус,Лиам Хемсворт,0,0
"С новым годом, мамы!",,https://www.kinopoisk.ru/film/674498/,Сарик Андреасян,Россия,2012,комедия,90.0,6.3,36675,Елизавета Боярская,Максим Матвеев,0,0
Патруль времени,Timecop,https://www.kinopoisk.ru/film/17233/,Питер Хайамс,США,1994,фантастика,99.0,6.6,36674,Жан-Клод Ван Дамм,Миа Сара,0,0
